fonds,product,z
6.5,18.3,1
10.3,31.1,1
7.7,27.0,1
15.8,37.9,1
7.4,20.3,1
14.3,32.2,1
15.4,31.2,1
21.1,39.7,1
22.1,46.6,1
12.0,33.1,1
9.5,26.9,1
8.1,24.0,1
8.4,24.2,1
15.3,33.7,1
4.3,18.5,1
9.3,17.2,2
5.7,19.0,2
12.9,24.8,2
5.1,21.5,2
3.8,14.5,2
17.1,19.3,2
8.2,19.3,2
8.1,23.9,2
11.7,28.0,2
13.0,30.9,2
15.3,27.2,2
13.5,29.9,2
10.5,34.9,2
7.3,24.4,2
13.8,37.4,2
10.4,21.4,2
10.2,23.5,2
18.0,31.1,2
13.8,43.2,2
6.0,19.5,2
11.9,42.1,2
9.4,18.1,2
13.7,31.6,2
12.0,21.3,2
11.6,26.5,2
9.1,31.6,2
6.6,12.6,2
7.6,28.4,2
9.9,22.4,2
14.7,27.7,2
